frame,t_ms,frametime_ms,terrain,trees,dwarves,dirty_tiles,mark
# run: build=5cd523c assets=disk:D:\Workspace\frostvein\assets subdiv=4 vsync=off terrain=1888 trees=259 dwarves=5
0,0.000,0.000,1888,259,5,0,0
1,21.960,21.960,1888,259,5,0,0
2,76.523,54.564,1888,259,5,0,0
3,92.163,15.639,1888,259,5,0,0
4,94.795,2.632,1888,259,5,0,0
5,98.010,3.215,1888,259,5,0,0
6,100.727,2.717,1888,259,5,0,0
7,103.443,2.716,1888,259,5,0,0
8,106.243,2.800,1888,259,5,0,0
9,108.765,2.522,1888,259,5,0,0
10,111.171,2.406,1888,259,5,0,0
11,113.871,2.700,1888,259,5,0,0
12,116.590,2.719,1888,259,5,0,0
13,119.325,2.735,1888,259,5,0,0
14,122.025,2.700,1888,259,5,0,0
15,124.706,2.681,1888,259,5,0,0
16,127.370,2.664,1888,259,5,0,0
17,130.207,2.837,1888,259,5,0,0
18,141.748,11.541,1888,259,5,0,0
19,145.694,3.946,1888,259,5,0,0
20,147.872,2.178,1888,259,5,0,0
21,150.698,2.826,1888,259,5,0,0
22,153.796,3.098,1888,259,5,0,0
23,156.759,2.963,1888,259,5,0,0
24,159.576,2.817,1888,259,5,0,0
25,162.403,2.827,1888,259,5,0,0
26,165.841,3.438,1888,259,5,0,0
27,168.060,2.219,1888,259,5,0,0
28,170.901,2.842,1888,259,5,0,0
29,173.986,3.084,1888,259,5,0,0
30,177.167,3.181,1888,259,5,0,0
31,179.982,2.815,1888,259,5,0,0
32,182.951,2.968,1888,259,5,0,0
33,185.654,2.704,1888,259,5,0,0
34,188.501,2.847,1888,259,5,0,0
35,191.259,2.759,1888,259,5,0,0
36,194.134,2.875,1888,259,5,0,0
37,196.940,2.805,1888,259,5,0,0
38,199.758,2.818,1888,259,5,0,0
39,202.445,2.687,1888,259,5,0,0
40,205.198,2.753,1888,259,5,0,0
41,207.989,2.792,1888,259,5,0,0
42,210.607,2.618,1888,259,5,0,0
43,213.612,3.005,1888,259,5,0,0
44,216.515,2.903,1888,259,5,0,0
45,219.829,3.314,1888,259,5,0,0
46,223.614,3.785,1888,259,5,0,0
47,226.585,2.971,1888,259,5,0,0
48,229.729,3.144,1888,259,5,0,0
49,232.969,3.240,1888,259,5,0,0
50,236.281,3.312,1888,259,5,0,0
51,239.718,3.437,1888,259,5,0,0
52,243.185,3.467,1888,259,5,0,0
53,246.787,3.602,1888,259,5,0,0
54,249.990,3.203,1888,259,5,0,0
55,253.409,3.419,1888,259,5,0,0
56,256.735,3.326,1888,259,5,0,0
57,260.762,4.027,1888,259,5,0,0
58,264.270,3.508,1888,259,5,0,0
59,267.589,3.320,1888,259,5,0,0
60,270.800,3.210,1888,259,5,0,0
61,274.095,3.295,1888,259,5,0,0
62,277.385,3.291,1888,259,5,0,0
63,280.862,3.477,1888,259,5,0,0
64,284.250,3.388,1888,259,5,0,0
65,287.346,3.096,1888,259,5,0,0
66,291.041,3.696,1888,259,5,0,0
67,294.255,3.214,1888,259,5,0,0
68,297.663,3.409,1888,259,5,0,0
69,301.031,3.368,1888,259,5,0,0
70,304.639,3.607,1888,259,5,0,0
71,309.700,5.061,1888,259,5,0,0
72,312.657,2.957,1888,259,5,0,0
73,316.453,3.797,1888,259,5,0,0
74,319.957,3.504,1888,259,5,0,0
75,323.750,3.792,1888,259,5,0,0
76,327.251,3.501,1888,259,5,0,0
77,331.066,3.815,1888,259,5,0,0
78,334.817,3.751,1888,259,5,0,0
79,338.215,3.398,1888,259,5,0,0
80,341.516,3.301,1888,259,5,0,0
81,344.682,3.166,1888,259,5,0,0
82,348.044,3.362,1888,259,5,0,0
83,351.311,3.268,1888,259,5,0,0
84,354.986,3.675,1888,259,5,0,0
85,358.776,3.789,1888,259,5,0,0
86,362.219,3.443,1888,259,5,0,0
87,366.707,4.488,1888,259,5,0,0
88,369.657,2.950,1888,259,5,0,0
89,375.505,5.848,1888,259,5,0,0
90,380.534,5.029,1888,259,5,0,0
91,383.674,3.140,1888,259,5,0,0
92,388.252,4.579,1888,259,5,0,0
93,393.118,4.865,1888,259,5,0,0
94,397.499,4.381,1888,259,5,0,0
95,401.344,3.845,1888,259,5,0,0
