frame,t_ms,frametime_ms,terrain,trees,dwarves,dirty_tiles,mark
# run: build=5cd523c assets=disk:D:\Workspace\frostvein\assets subdiv=4 vsync=off terrain=1888 trees=259 dwarves=5
0,0.000,0.000,1888,259,5,0,0
1,21.361,21.361,1888,259,5,0,0
2,86.226,64.866,1888,259,5,0,0
3,102.480,16.254,1888,259,5,0,0
4,105.319,2.839,1888,259,5,0,0
5,108.289,2.971,1888,259,5,0,0
6,110.991,2.702,1888,259,5,0,0
7,113.689,2.698,1888,259,5,0,0
8,116.891,3.202,1888,259,5,0,0
9,119.684,2.793,1888,259,5,0,0
10,122.608,2.925,1888,259,5,0,0
11,125.350,2.741,1888,259,5,0,0
12,127.957,2.607,1888,259,5,0,0
13,130.889,2.932,1888,259,5,0,0
14,134.152,3.263,1888,259,5,0,0
15,137.241,3.089,1888,259,5,0,0
16,140.479,3.238,1888,259,5,0,0
17,143.427,2.948,1888,259,5,0,0
18,146.528,3.102,1888,259,5,0,0
19,149.436,2.908,1888,259,5,0,0
20,152.430,2.994,1888,259,5,0,0
21,155.600,3.170,1888,259,5,0,0
22,159.223,3.623,1888,259,5,0,0
23,163.951,4.727,1888,259,5,0,0
24,167.389,3.438,1888,259,5,0,0
25,172.280,4.891,1888,259,5,0,0
26,175.807,3.527,1888,259,5,0,0
27,179.466,3.659,1888,259,5,0,0
28,183.107,3.641,1888,259,5,0,0
29,186.133,3.027,1888,259,5,0,0
30,189.363,3.230,1888,259,5,0,0
31,193.262,3.899,1888,259,5,0,0
32,196.797,3.534,1888,259,5,0,0
33,199.889,3.092,1888,259,5,0,0
34,203.370,3.481,1888,259,5,0,0
35,206.645,3.274,1888,259,5,0,0
36,210.101,3.456,1888,259,5,0,0
37,213.021,2.920,1888,259,5,0,0
38,216.190,3.168,1888,259,5,0,0
39,218.945,2.756,1888,259,5,0,0
40,221.986,3.041,1888,259,5,0,0
41,224.917,2.931,1888,259,5,0,0
42,227.550,2.633,1888,259,5,0,0
43,230.724,3.174,1888,259,5,0,0
44,233.760,3.037,1888,259,5,0,0
45,236.684,2.924,1888,259,5,0,0
46,240.046,3.362,1888,259,5,0,0
47,243.262,3.217,1888,259,5,0,0
48,246.275,3.013,1888,259,5,0,0
49,249.955,3.680,1888,259,5,0,0
50,252.301,2.346,1888,259,5,0,0
51,255.549,3.248,1888,259,5,0,0
52,259.036,3.486,1888,259,5,0,0
53,262.151,3.116,1888,259,5,0,0
54,265.974,3.823,1888,259,5,0,0
55,270.397,4.422,1888,259,5,0,0
56,284.508,14.111,1888,259,5,0,0
57,288.161,3.654,1888,259,5,0,0
58,291.690,3.529,1888,259,5,0,0
59,295.232,3.542,1888,259,5,0,0
60,298.572,3.340,1888,259,5,0,0
61,302.293,3.720,1888,259,5,0,0
62,306.069,3.776,1888,259,5,0,0
63,309.687,3.618,1888,259,5,0,0
64,313.137,3.450,1888,259,5,0,0
65,316.361,3.223,1888,259,5,0,0
66,319.499,3.138,1888,259,5,0,0
67,322.636,3.137,1888,259,5,0,0
68,325.943,3.308,1888,259,5,0,0
69,329.229,3.286,1888,259,5,0,0
70,332.758,3.529,1888,259,5,0,0
71,336.043,3.284,1888,259,5,0,0
72,339.208,3.165,1888,259,5,0,0
73,342.383,3.175,1888,259,5,0,0
74,345.570,3.187,1888,259,5,0,0
75,348.664,3.094,1888,259,5,0,0
76,352.139,3.475,1888,259,5,0,0
77,355.291,3.153,1888,259,5,0,0
78,358.408,3.116,1888,259,5,0,0
79,361.713,3.305,1888,259,5,0,0
80,364.825,3.112,1888,259,5,0,0
81,367.932,3.107,1888,259,5,0,0
82,371.795,3.863,1888,259,5,0,0
83,376.856,5.061,1888,259,5,0,0
84,380.717,3.861,1888,259,5,0,0
85,384.490,3.773,1888,259,5,0,0
86,387.915,3.425,1888,259,5,0,0
87,391.558,3.642,1888,259,5,0,0
88,395.280,3.723,1888,259,5,0,0
89,399.795,4.514,1888,259,5,0,0
90,403.816,4.022,1888,259,5,0,0
91,407.714,3.897,1888,259,5,0,0
92,411.774,4.060,1888,259,5,0,0
93,415.587,3.814,1888,259,5,0,0
94,418.958,3.370,1888,259,5,0,0
95,422.367,3.410,1888,259,5,0,0
