frame,t_ms,frametime_ms,terrain,trees,dwarves,dirty_tiles,mark
# run: build=5cd523c assets=disk:D:\Workspace\frostvein\assets subdiv=4 vsync=off terrain=1888 trees=259 dwarves=5
0,0.000,0.000,1888,259,5,0,0
1,19.786,19.786,1888,259,5,0,0
2,74.371,54.584,1888,259,5,0,0
3,90.288,15.917,1888,259,5,0,0
4,93.031,2.744,1888,259,5,0,0
5,96.275,3.244,1888,259,5,0,0
6,99.263,2.988,1888,259,5,0,0
7,102.152,2.889,1888,259,5,0,0
8,105.588,3.436,1888,259,5,0,0
9,108.425,2.837,1888,259,5,0,0
10,111.677,3.252,1888,259,5,0,0
11,114.803,3.126,1888,259,5,0,0
12,118.041,3.237,1888,259,5,0,0
13,121.289,3.248,1888,259,5,0,0
14,131.736,10.447,1888,259,5,0,0
15,135.047,3.311,1888,259,5,0,0
16,138.006,2.959,1888,259,5,0,0
17,140.972,2.965,1888,259,5,0,0
18,143.835,2.863,1888,259,5,0,0
19,146.626,2.791,1888,259,5,0,0
20,149.642,3.016,1888,259,5,0,0
21,151.990,2.348,1888,259,5,0,0
22,154.698,2.708,1888,259,5,0,0
23,157.429,2.731,1888,259,5,0,0
24,160.142,2.713,1888,259,5,0,0
25,162.967,2.825,1888,259,5,0,0
26,165.851,2.884,1888,259,5,0,0
27,168.689,2.838,1888,259,5,0,0
28,171.586,2.897,1888,259,5,0,0
29,174.327,2.741,1888,259,5,0,0
30,176.912,2.585,1888,259,5,0,0
31,179.830,2.917,1888,259,5,0,0
32,182.712,2.883,1888,259,5,0,0
33,185.724,3.012,1888,259,5,0,0
34,188.436,2.712,1888,259,5,0,0
35,191.231,2.795,1888,259,5,0,0
36,194.062,2.831,1888,259,5,0,0
37,196.734,2.672,1888,259,5,0,0
38,199.660,2.926,1888,259,5,0,0
39,202.513,2.852,1888,259,5,0,0
40,205.428,2.915,1888,259,5,0,0
41,208.174,2.746,1888,259,5,0,0
42,211.357,3.183,1888,259,5,0,0
43,214.330,2.974,1888,259,5,0,0
44,217.250,2.920,1888,259,5,0,0
45,221.087,3.837,1888,259,5,0,0
46,223.285,2.199,1888,259,5,0,0
47,226.289,3.003,1888,259,5,0,0
48,229.347,3.059,1888,259,5,0,0
49,232.707,3.360,1888,259,5,0,0
50,235.744,3.037,1888,259,5,0,0
51,238.657,2.913,1888,259,5,0,0
52,241.951,3.295,1888,259,5,0,0
53,244.489,2.538,1888,259,5,0,0
54,247.443,2.954,1888,259,5,0,0
55,250.410,2.967,1888,259,5,0,0
56,254.544,4.134,1888,259,5,0,0
57,259.331,4.787,1888,259,5,0,0
58,262.609,3.278,1888,259,5,0,0
59,265.835,3.227,1888,259,5,0,0
60,269.374,3.539,1888,259,5,0,0
61,273.209,3.835,1888,259,5,0,0
62,277.073,3.864,1888,259,5,0,0
63,281.200,4.127,1888,259,5,0,0
64,284.012,2.812,1888,259,5,0,0
65,287.607,3.595,1888,259,5,0,0
66,291.223,3.616,1888,259,5,0,0
67,295.160,3.937,1888,259,5,0,0
68,299.244,4.084,1888,259,5,0,0
69,303.125,3.881,1888,259,5,0,0
70,306.877,3.752,1888,259,5,0,0
71,310.346,3.469,1888,259,5,0,0
72,313.899,3.553,1888,259,5,0,0
73,317.365,3.466,1888,259,5,0,0
74,320.650,3.285,1888,259,5,0,0
75,323.966,3.317,1888,259,5,0,0
76,327.456,3.489,1888,259,5,0,0
77,331.132,3.676,1888,259,5,0,0
78,334.648,3.516,1888,259,5,0,0
79,338.647,3.999,1888,259,5,0,0
80,342.979,4.332,1888,259,5,0,0
81,346.531,3.553,1888,259,5,0,0
82,349.927,3.396,1888,259,5,0,0
83,353.458,3.531,1888,259,5,0,0
84,356.980,3.522,1888,259,5,0,0
85,360.133,3.153,1888,259,5,0,0
86,364.101,3.968,1888,259,5,0,0
87,367.504,3.403,1888,259,5,0,0
88,371.132,3.629,1888,259,5,0,0
89,374.507,3.374,1888,259,5,0,0
90,377.961,3.454,1888,259,5,0,0
91,381.430,3.469,1888,259,5,0,0
92,384.897,3.467,1888,259,5,0,0
93,388.192,3.295,1888,259,5,0,0
94,391.827,3.635,1888,259,5,0,0
95,394.917,3.091,1888,259,5,0,0
