frame,t_ms,frametime_ms,terrain,trees,dwarves,dirty_tiles,mark
# run: build=5cd523c assets=disk:D:\Workspace\frostvein\assets subdiv=4 vsync=off terrain=1888 trees=259 dwarves=5
0,0.000,0.000,1888,259,5,0,0
1,21.993,21.993,1888,259,5,0,0
2,84.441,62.448,1888,259,5,0,0
3,103.108,18.667,1888,259,5,0,0
4,106.085,2.978,1888,259,5,0,0
5,109.231,3.146,1888,259,5,0,0
6,112.121,2.890,1888,259,5,0,0
7,114.990,2.869,1888,259,5,0,0
8,117.457,2.467,1888,259,5,0,0
9,120.239,2.782,1888,259,5,0,0
10,124.005,3.766,1888,259,5,0,0
11,126.870,2.865,1888,259,5,0,0
12,129.878,3.008,1888,259,5,0,0
13,132.799,2.922,1888,259,5,0,0
14,135.937,3.137,1888,259,5,0,0
15,138.771,2.834,1888,259,5,0,0
16,141.435,2.664,1888,259,5,0,0
17,144.435,3.000,1888,259,5,0,0
18,147.227,2.792,1888,259,5,0,0
19,150.325,3.097,1888,259,5,0,0
20,153.005,2.681,1888,259,5,0,0
21,155.884,2.879,1888,259,5,0,0
22,158.914,3.030,1888,259,5,0,0
23,161.950,3.037,1888,259,5,0,0
24,164.913,2.962,1888,259,5,0,0
25,167.847,2.934,1888,259,5,0,0
26,170.926,3.079,1888,259,5,0,0
27,173.766,2.839,1888,259,5,0,0
28,176.616,2.850,1888,259,5,0,0
29,179.566,2.950,1888,259,5,0,0
30,182.728,3.162,1888,259,5,0,0
31,185.451,2.723,1888,259,5,0,0
32,188.543,3.092,1888,259,5,0,0
33,191.432,2.889,1888,259,5,0,0
34,194.286,2.854,1888,259,5,0,0
35,197.200,2.913,1888,259,5,0,0
36,200.156,2.956,1888,259,5,0,0
37,202.969,2.813,1888,259,5,0,0
38,206.100,3.131,1888,259,5,0,0
39,208.600,2.500,1888,259,5,0,0
40,211.384,2.784,1888,259,5,0,0
41,214.268,2.884,1888,259,5,0,0
42,217.290,3.022,1888,259,5,0,0
43,220.258,2.968,1888,259,5,0,0
44,223.395,3.137,1888,259,5,0,0
45,227.055,3.660,1888,259,5,0,0
46,229.615,2.561,1888,259,5,0,0
47,232.954,3.339,1888,259,5,0,0
48,236.318,3.363,1888,259,5,0,0
49,239.467,3.150,1888,259,5,0,0
50,242.815,3.348,1888,259,5,0,0
51,245.821,3.006,1888,259,5,0,0
52,249.040,3.219,1888,259,5,0,0
53,252.116,3.076,1888,259,5,0,0
54,255.151,3.035,1888,259,5,0,0
55,258.092,2.941,1888,259,5,0,0
56,261.060,2.968,1888,259,5,0,0
57,264.072,3.011,1888,259,5,0,0
58,267.078,3.006,1888,259,5,0,0
59,270.469,3.391,1888,259,5,0,0
60,274.680,4.211,1888,259,5,0,0
61,278.760,4.081,1888,259,5,0,0
62,287.995,9.235,1888,259,5,0,0
63,292.670,4.675,1888,259,5,0,0
64,296.223,3.552,1888,259,5,0,0
65,300.357,4.134,1888,259,5,0,0
66,304.636,4.279,1888,259,5,0,0
67,308.076,3.440,1888,259,5,0,0
68,311.597,3.521,1888,259,5,0,0
69,315.466,3.869,1888,259,5,0,0
70,319.466,4.000,1888,259,5,0,0
71,323.082,3.616,1888,259,5,0,0
72,326.691,3.609,1888,259,5,0,0
73,330.727,4.036,1888,259,5,0,0
74,334.496,3.769,1888,259,5,0,0
75,338.246,3.750,1888,259,5,0,0
76,342.207,3.961,1888,259,5,0,0
77,346.379,4.171,1888,259,5,0,0
78,350.159,3.780,1888,259,5,0,0
79,354.223,4.064,1888,259,5,0,0
80,357.748,3.525,1888,259,5,0,0
81,361.507,3.760,1888,259,5,0,0
82,365.225,3.717,1888,259,5,0,0
83,368.890,3.665,1888,259,5,0,0
84,372.498,3.607,1888,259,5,0,0
85,376.011,3.513,1888,259,5,0,0
86,380.113,4.102,1888,259,5,0,0
87,384.193,4.080,1888,259,5,0,0
88,388.878,4.685,1888,259,5,0,0
89,391.900,3.022,1888,259,5,0,0
90,396.539,4.639,1888,259,5,0,0
91,400.534,3.995,1888,259,5,0,0
92,404.446,3.912,1888,259,5,0,0
93,407.928,3.482,1888,259,5,0,0
94,411.736,3.807,1888,259,5,0,0
95,415.453,3.717,1888,259,5,0,0
