frame,t_ms,frametime_ms,terrain,trees,dwarves,dirty_tiles,mark
# run: build=21c65a0 assets=disk:D:\Workspace\frostvein\assets subdiv=4 vsync=on terrain=1888 trees=259 dwarves=5
0,0.000,0.000,1888,259,5,0,0
1,21.729,21.729,1888,259,5,0,0
2,262.406,240.677,1888,259,5,0,0
3,278.490,16.085,1888,259,5,0,0
4,282.114,3.623,1888,259,5,0,0
5,286.181,4.067,1888,259,5,0,0
6,289.396,3.216,1888,259,5,0,0
7,292.959,3.563,1888,259,5,0,0
8,296.102,3.143,1888,259,5,0,0
9,298.570,2.467,1888,259,5,0,0
10,304.525,5.955,1888,259,5,0,0
11,311.357,6.833,1888,259,5,0,0
12,318.516,7.158,1888,259,5,0,0
13,325.332,6.817,1888,259,5,0,0
14,332.409,7.077,1888,259,5,0,0
15,339.237,6.828,1888,259,5,0,0
16,346.125,6.888,1888,259,5,0,0
17,353.218,7.093,1888,259,5,0,0
18,360.672,7.454,1888,259,5,0,0
19,367.306,6.635,1888,259,5,0,0
20,374.430,7.124,1888,259,5,0,0
21,381.171,6.740,1888,259,5,0,0
22,387.613,6.442,1888,259,5,0,0
23,396.153,8.540,1888,259,5,0,0
24,402.025,5.872,1888,259,5,0,0
25,408.867,6.842,1888,259,5,0,0
26,415.676,6.809,1888,259,5,0,0
27,422.812,7.136,1888,259,5,0,0
28,430.411,7.599,1888,259,5,0,0
29,437.327,6.917,1888,259,5,0,0
30,444.383,7.056,1888,259,5,0,0
31,450.994,6.610,1888,259,5,0,0
32,458.274,7.281,1888,259,5,0,0
33,465.564,7.290,1888,259,5,0,0
34,472.845,7.281,1888,259,5,0,0
35,485.809,12.964,1888,259,5,0,0
36,490.326,4.517,1888,259,5,0,0
37,494.297,3.971,1888,259,5,0,0
38,500.068,5.771,1888,259,5,0,0
39,506.844,6.776,1888,259,5,0,0
40,514.636,7.792,1888,259,5,0,0
41,522.546,7.910,1888,259,5,0,0
42,529.621,7.075,1888,259,5,0,0
43,536.630,7.010,1888,259,5,0,0
44,543.628,6.998,1888,259,5,0,0
45,550.965,7.336,1888,259,5,0,0
46,557.211,6.247,1888,259,5,0,0
47,563.735,6.523,1888,259,5,0,0
48,573.849,10.114,1888,259,5,0,0
49,577.536,3.687,1888,259,5,0,0
50,583.952,6.416,1888,259,5,0,0
51,591.167,7.215,1888,259,5,0,0
52,601.364,10.197,1888,259,5,0,0
53,605.267,3.903,1888,259,5,0,0
54,611.743,6.476,1888,259,5,0,0
55,618.823,7.080,1888,259,5,0,0
56,625.592,6.769,1888,259,5,0,0
57,632.953,7.361,1888,259,5,0,0
58,640.297,7.345,1888,259,5,0,0
59,646.606,6.309,1888,259,5,0,0
